ensembl	HUGO	ID
ENSG00000224892	RPS4XP16	41018
ENSG00000136149	RPL13AP25	41074
ENSG00000225352	RPL31P53	41092
ENSG00000232105	RPL32P28	41137
ENSG00000214263	RPSAP53	41169
ENSG00000236433	RPL37P21	41177
ENSG00000230405	RPS3AP52	41178
ENSG00000229824	RPL12P34	41179
ENSG00000237816	RPL21P109	41200
ENSG00000233460	RPL35AP31	41201
ENSG00000232881	RPS10P21	41202
ENSG00000227952	RPL18AP17	41205
ENSG00000226617	RPL21P110	41209
ENSG00000232701	RPL21P108	41233
ENSG00000233873	RPL7P44	41262
ENSG00000229865	RPL31P54	41286
ENSG00000237109	RPL21P111	41292
ENSG00000225289	RPL29P29	41352
ENSG00000234227	RPL7L1P1	41364
ENSG00000237924	RPL21P112	41412
ENSG00000233291	RPL7AP61	41448
ENSG00000231981	RPL7L1P12	41470
ENSG00000230871	RPS6P23	41473
ENSG00000228501	RPL15P18	41504
ENSG00000234354	RPS26P47	41510
ENSG00000236860	RPL39P29	41526
ENSG00000225823	RPL7P45	41548
ENSG00000174418	RPL35P9	41559
ENSG00000225239	RPL21P107	41616
ENSG00000240954	RPL4P1	41912
ENSG00000240179	RPL26P3	42199
ENSG00000258640	RPL21P5	42245
ENSG00000240463	RPS19P3	42292
ENSG00000256243	RPL7AP3	42313
ENSG00000240392	RPL9P3	42314
ENSG00000259105	RPS3AP4	42322
ENSG00000243730	RPL29P3	42352
ENSG00000241984	RPL7AP2	42391
ENSG00000165496	RPL10L	42464
ENSG00000244053	RPL13AP2	42468
ENSG00000214903	RPS15AP3	42469
ENSG00000213741	RPS29	42485
ENSG00000244270	RPL32P29	42486
ENSG00000165502	RPL36AL	42495
ENSG00000226132	RPS3AP46	42613
ENSG00000239199	RPL21P6	42648
ENSG00000213641	RPL7AP4	42650
ENSG00000177350	RPL13AP3	42655
ENSG00000243388	RPL3P3	42676
ENSG00000239510	RPL9P5	42712
ENSG00000242135	RPL17P2	42736
ENSG00000270912	RPS28P1	42808
ENSG00000258613	RPL21P7	42848
ENSG00000180662	RPL21P8	42854
ENSG00000258618	RPL21P9	42894
ENSG00000242071	RPL7AP6	42938
ENSG00000177776	RPS2P2	43052
ENSG00000198208	RPS6KL1	43071
ENSG00000239272	RPL21P10	43162
ENSG00000271705	RPL17P3	43191
ENSG00000242571	RPL21P11	43295
ENSG00000100784	RPS6KA5	43311
ENSG00000239269	RPSAP4	43394
ENSG00000240914	RPL15P2	43396
ENSG00000240051	RPL23AP10	43443
ENSG00000232573	RPL3P4	43472
ENSG00000213176	RPL13P6	43686
ENSG00000259535	RPL21P12	43692
ENSG00000242837	RPL21P13	43697
ENSG00000244691	RPL10AP1	43706
ENSG00000239365	RPS26P49	43760
ENSG00000196183	RPS2P4	43761
ENSG00000242085	RPS20P33	43782
ENSG00000241061	RPL5P1	44181
ENSG00000228992	RPL5P32	44318
ENSG00000256338	RPL41P2	44320
ENSG00000205871	RPS3AP47	44744
ENSG00000214896	RPSAP55	45006
ENSG00000234797	RPS3AP6	45136
ENSG00000185088	RPS27L	45200
ENSG00000240821	RPL9P25	45294
ENSG00000243404	RPL35AP32	45297
ENSG00000174444	RPL4	45301
ENSG00000242634	RPS24P16	45321
ENSG00000137818	RPLP1	45370
ENSG00000235420	RPL29P30	45395
